書誌情報ダウンロード(tsv形式)_20250118182836
タイトル,責任表示,出版者,出版年月日等,出版年（W3CDTF）
浜田山がしもっぱらと呼ばれていた頃の話,"吉田正一 語り , 是恒朋子 聞き書き",杉並区立高井戸図書館,2018.4,2018
浜田山・三井グランド環境裁判の記録とこれから : 神田川上流: みどりと水のアクション・プラン,,浜田山・三井グランド環境裁判原告団,2015.8,2015
浜田山駅以南路線実施計画策定調査報告書 : 杉並区南北バス交通の新路線(浜田山以南路線)整備に向けて. 平成15年度,杉並区都市整備部交通対策課交通対策係 編,杉並区都市整備部交通対策課交通対策係,2004.3,2004
都営住宅浜田山四丁目団地におけるシルバーハウジング・プロジェクト事業計画および推進計画報告書,[東京都]杉並区厚生部高齢者福祉室計画推進課 編,杉並区,1995.3,1995
都営住宅浜田山四丁目団地におけるシルバーハウジング・プロジェクト事業計画および推進計画報告書 : 概要版,,[東京都]杉並区厚生部,1995.3,1995
浜田山の植物,寺沢正江 著,寺沢正江,1971,1971
浜田山,東京都都市整備局 [著],ぶよお堂,[2018.1印刷],2018
浜田山,東京都都市整備局 [著] ; 東京デジタルマップ株式会社 [著],武揚堂,[2005],2005
浜田山の話,片山 広子 著者,月曜社,2004（平成16）年11月30日,2004-11-30
浜田山,[東京都都市計画局 編],東京都都市計画協議会,[1997],1997
都営住宅浜田山四丁目団地におけるシルバ-ハウジング・プロジェクト事業計画および推進計画報告書,,杉並区厚生部高齢者福祉室計画推進課,1995.3,1995
木造住宅パーフェクト詳細図集,丸山弾 著,オーム社,2018.10,2018
奴隷船,団鬼六 著,新潮社,2002.5,2002
エブリワン氏の「裁判員日記」 : シミュレーション:あなたがもしも指名されたら,一橋総合研究所 著,PHP研究所,2008.6,2008
金沢嘉市と母親の勉強会,浜田山勉強会 編,椋の木社,1986.3,1986
東京こだわりブックショップ地図 = TOKYO Kodawari Bookshop MAP,屋敷直子 著,交通新聞社,2017.3,2017
大好き、食虫植物。 : 育て方・楽しみ方,星野映里 著,水曜社,2008.5,2008
想像力のスイッチを入れよう,下村健一 著,講談社,2017.1,2017
ひとりで悩まない介護 : マンガで読む,"川島れいこ, 都々木美耶, 伊東爾子, 野口弓子, 鈴木日和子, 下地のりこ 著 , 在宅介護福祉センター浜田山 監修",あおば出版,2006.3,2006
IDR研究資料. 77～92,,流通問題研究協会,1978.1-1983.9,1978
吹き抜け大全 : デザインも温熱環境も諦めない,日経アーキテクチュア 編,日経BP社 日経BPマーケティング (発売),2013.6,2013
杉並風土記. 下巻,森泰樹 著,杉並郷土史会,1989.5,1989
東京おもひで草,川本三郎 著,筑摩書房,2002.8,2002
東京おもひで草,川本三郎 著,三省堂,1997.9,1997
堂本ルール. 4,阿部秀司 著,秋田書店,2010.6,2010
銀行支店長、泣く,江上剛 著,実業之日本社,2021.6,2021
現代の住宅設計140選 : プランとスケッチ,"近藤正一, 林雅子, 戎居研造 編",東都書房,1967,1967
堂本ルール. 5,阿部秀司 著,秋田書店,2010.9,2010
頑張る書店、新たな挑戦 : 注目の書店事例集 : 文化通信ブックビジネス〈bBB〉特別縮刷版 : 2011年5月2日号～2014年9月1日号bBB紙面にみる書店事例,文化通信編集部 編,文化通信社,2014.10,2014
ベリーズティールームの本格紅茶と英国菓子レシピ : ティールームで成功する、お店づくりの素敵なこだわり,"小関由美, 和田真弓 著",誠文堂新光社,2023.2,2023
お茶摘みぐれ、できたらな : 校歌を作った先生と子どもたち : 子どもの詩と日記に見る昭和の農村,今井成司 編著,本の泉社,2024.9,2024
ひとりっ子の学力の伸ばし方,富永雄輔 著,ダイヤモンド社,2022.8,2022
東京「消えた山」発掘散歩 : 都区内の名〈迷〉山と埋もれた歴史を掘り起こす,川副秀樹 著,言視舎,2012.4,2012
作文名人への道. 小学校3・4年生,"田中定幸, 今井成司, 榎本豊 編著",本の泉社,2018.2,2018
ハチミツとクローバー : TVドラマノベライズ,"下川香苗 著 , 金子茂樹 脚本 , 羽海野チカ 原作",集英社,2008.3,2008
総合設計制度事例集,"建設省住宅局市街地建築課 監修 , 日本建築センター情報事業部 編",日本建築センター情報事業部,1996.11,1996
私の徒然草,福田清人 著,公立学校共済組合本部,1964,1964
"おにぎりレシピ101 = 101 Healthy,Easy Japanese Riceball Recipes : EVERYDAY ONIGIRI",山田玲子 著,ポット出版,2014.4,2014
和ごはん101 = Wagohan:The ABCs of Japanese Cuisine : 英文付き,山田玲子 著,ポット出版,2017.11,2017
さくぶんめいじん. しょうがく1、2年生,"田中定幸, 今井成司, 榎本豊 編著",本の泉社,2021.5,2021
木造の詳細. 第1 (構造編),彰国社 編,彰国社,1968,1968
杉並区史探訪,森泰樹 著,杉並郷土史会,1974,1974
日本農業研究所年報. 昭和40-41年度,,日本農業研究所,1966-1967,1966
灯火節,片山広子 著,暮しの手帖社,1953,1953
近現代日本教員史研究,"船寄俊雄, 近現代日本教員史研究会 編著",風間書房,2021.12,2021
建築空間計画,"積田洋, 福井通, 赤木徹也, 金子友美, 鈴木弘樹, 山家京子 著",彰国社,2012.9,2012
特集日本版NbSデザイン : 生物多様性を活かした地域・環境づくり,愛植物設計事務所編,ブックエンド,2022.7,2022
住居表示新旧対照表 昭和44年7月1日施行(昭和44年4月10日現在調製),杉並区 [編],杉並区,[1969],1969
コンパクト建築設計資料集成. 住居,日本建築学会 編,丸善,2006.1,2006
日本ツバキ・サザンカ名鑑,日本ツバキ協会 編,誠文堂新光社,1998.6,1998
全国郵便局名録. 2008,武田聡 編,鳴美,2008.3,2008
東京航空写真地図. 第2集,写真測量所 編,創元社,1954,1954
うた,[浜田山の会] 編,浜田山の会,,
